gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,2,20.0,20.0,1
0,1,0,1,2,0,1,1,0,1,0,1,0,1,1,0,3,21.5,43.0,0
1,0,1,0,3,0,0,2,1,0,1,0,1,0,2,1,0,23.0,69.0,1
0,1,0,1,4,0,1,0,0,1,0,1,0,1,0,0,1,24.5,98.0,0
1,0,1,0,5,0,0,1,1,0,1,0,1,0,1,1,2,26.0,130.0,1
0,1,0,1,6,0,1,2,0,1,0,1,0,1,2,0,3,27.5,165.0,0
1,0,1,0,7,0,0,0,1,0,1,0,1,0,0,1,0,29.0,203.0,1
0,1,0,1,8,0,1,1,0,1,0,1,0,1,1,0,1,30.5,244.0,0
1,0,1,0,9,0,0,2,1,0,1,0,1,0,2,1,2,32.0,288.0,1
0,1,0,1,10,0,1,0,0,1,0,1,0,1,0,0,3,33.5,335.0,0
1,0,1,0,11,0,0,1,1,0,1,0,1,0,1,1,0,35.0,385.0,1
0,1,0,1,12,0,1,2,0,1,0,1,0,1,2,0,1,36.5,438.0,0
1,0,1,0,13,0,0,0,1,0,1,0,1,0,0,1,2,38.0,494.0,1
0,1,0,1,14,0,1,1,0,1,0,1,0,1,1,0,3,39.5,553.0,0
1,0,1,0,15,0,0,2,1,0,1,0,1,0,2,1,0,41.0,615.0,1
0,1,0,1,16,0,1,0,0,1,0,1,0,1,0,0,1,42.5,680.0,0
1,0,1,0,17,0,0,1,1,0,1,0,1,0,1,1,2,44.0,748.0,1
0,1,0,1,18,0,1,2,0,1,0,1,0,1,2,0,3,45.5,819.0,0
1,0,1,0,19,0,0,0,1,0,1,0,1,0,0,1,0,47.0,893.0,1
0,1,0,1,20,0,1,1,0,1,0,1,0,1,1,0,1,48.5,970.0,0
1,0,1,0,21,0,0,2,1,0,1,0,1,0,2,1,2,50.0,1050.0,1
0,1,0,1,22,0,1,0,0,1,0,1,0,1,0,0,3,51.5,1133.0,0
1,0,1,0,23,0,0,1,1,0,1,0,1,0,1,1,0,53.0,1219.0,1
0,1,0,1,24,0,1,2,0,1,0,1,0,1,2,0,1,54.5,1308.0,0
1,0,1,0,25,0,0,0,1,0,1,0,1,0,0,1,2,56.0,1400.0,1
0,1,0,1,26,0,1,1,0,1,0,1,0,1,1,0,3,57.5,1495.0,0
1,0,1,0,27,0,0,2,1,0,1,0,1,0,2,1,0,59.0,1593.0,1
0,1,0,1,28,0,1,0,0,1,0,1,0,1,0,0,1,60.5,1694.0,0
1,0,1,0,29,0,0,1,1,0,1,0,1,0,1,1,2,62.0,1798.0,1
0,1,0,1,30,0,1,2,0,1,0,1,0,1,2,0,3,63.5,1905.0,0
1,0,1,0,31,0,0,0,1,0,1,0,1,0,0,1,0,65.0,2015.0,1
0,1,0,1,32,0,1,1,0,1,0,1,0,1,1,0,1,66.5,2128.0,0
1,0,1,0,33,0,0,2,1,0,1,0,1,0,2,1,2,68.0,2244.0,1
0,1,0,1,34,0,1,0,0,1,0,1,0,1,0,0,3,69.5,2363.0,0
1,0,1,0,35,0,0,1,1,0,1,0,1,0,1,1,0,71.0,2485.0,1
0,1,0,1,36,0,1,2,0,1,0,1,0,1,2,0,1,72.5,2610.0,0
1,0,1,0,37,0,0,0,1,0,1,0,1,0,0,1,2,74.0,2738.0,1
0,1,0,1,38,0,1,1,0,1,0,1,0,1,1,0,3,75.5,2869.0,0
1,0,1,0,39,0,0,2,1,0,1,0,1,0,2,1,0,77.0,3003.0,1
0,1,0,1,40,0,1,0,0,1,0,1,0,1,0,0,1,78.5,3140.0,0
1,0,1,0,41,0,0,1,1,0,1,0,1,0,1,1,2,80.0,3280.0,1
0,1,0,1,42,0,1,2,0,1,0,1,0,1,2,0,3,81.5,3423.0,0
1,0,1,0,43,0,0,0,1,0,1,0,1,0,0,1,0,83.0,3569.0,1
0,1,0,1,44,0,1,1,0,1,0,1,0,1,1,0,1,84.5,3718.0,0
1,0,1,0,45,0,0,2,1,0,1,0,1,0,2,1,2,86.0,3870.0,1
0,1,0,1,46,0,1,0,0,1,0,1,0,1,0,0,3,87.5,4025.0,0
1,0,1,0,47,0,0,1,1,0,1,0,1,0,1,1,0,89.0,4183.0,1
0,1,0,1,48,0,1,2,0,1,0,1,0,1,2,0,1,90.5,4344.0,0
1,0,1,0,49,0,0,0,1,0,1,0,1,0,0,1,2,92.0,4508.0,1
0,1,0,1,50,0,1,1,0,1,0,1,0,1,1,0,3,93.5,4675.0,0
